clade_name,ASAL001,ASAL002,ASAL003,ASAL004,ASAL006,ASAL009,ASAL010,ASAL011,ASAL015,ASAL016,ASAL017,ASAL018,ASAL019,ASAL020,ASAL001_1_6,ASAL002_1_6,ASAL003_1_6,ASAL004_1_6,ASAL006_1_6,ASAL009_1_6,ASAL010_1_6,ASAL011_1_6,ASAL015_1_6,ASAL016_1_6,ASAL017_1_6,ASAL018_1_6,ASAL019_1_6,ASAL020_1_6,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G1,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G2,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G3,G4,G5,G6,G7,G8,G9,G10_1_6,G11_1_6,G12_1_6,G13_1_6,G14_1_6,G15_1_6,G16_1_6,G17_1_6,G18_1_6,G19_1_6,G1_1_6,G20_1_6,G21_1_6,G22_1_6,G23_1_6,G24_1_6,G25_1_6,G26_1_6,G27_1_6,G28_1_6,G29_1_6,G2_1_6,G30_1_6,G31_1_6,G32_1_6,G33_1_6,G34_1_6,G35_1_6,G36_1_6,G37_1_6,G38_1_6,G39_1_6,G3_1_6,G4_1_6,G5_1_6,G6_1_6,G7_1_6,G8_1_6,G9_1_6
d__Bacteria,100.00020000000002,100.00029999999994,100.0001,99.99989999999995,100.00009999999996,100,99.99969999999996,100,100.00010000000005,99.9998,99.99970000000002,99.99999999999996,100.0003,100.00010000000002,99.99980000000002,100.00020000000004,100.0001,99.99950000000004,100.0001,100.00010000000006,100.00029999999998,100,100.00029999999998,99.99990000000004,100.00009999999996,99.99989999999995,99.9999,99.99980000000004,100,99.99970000000005,99.99950000000004,100.00030000000008,99.99920000000012,100.00050000000007,99.9997,99.99949999999995,100.00109999999997,99.99979999999996,100.00010000000002,100.00070000000004,99.99999999999996,100.00100000000002,100.00070000000004,99.9997,99.99960000000009,99.99999999999996,100.0006,100.0003000000002,100.00009999999996,100.00050000000005,99.99929999999988,100.00079999999996,99.99959999999992,100.00069999999997,99.9998999999999,100.00029999999995,100.00000000000011,100.00029999999995,99.9998,99.99900000000008,99.99980000000004,100.00060000000003,100.00030000000002,99.99950000000004,99.9992,100.00040000000013,100.00020000000006,100.0003,100.0004,100.0002999999999,100.00009999999996,99.99990000000004,99.99999999999996,100.00040000000004,100,100.00019999999992,100.00010000000005,100.00020000000004,100.0001,99.99959999999994,100.00019999999996,100.00079999999993,99.99930000000002,100.00010000000005,99.99950000000004,99.99949999999995,100.00019999999998,99.99990000000004,100.00109999999992,100.00000000000006,99.99979999999998,100.00030000000012,99.99979999999998,100.0006,99.99999999999996,100.0002,99.99989999999995,100.00009999999996,99.9998,100.00030000000002,99.9996,99.9995,99.9996000000001,99.99979999999998,100.00039999999996,100.00000000000009
d__Bacteria|p__Actinomycetota,17.0556,11.867800000000004,6.660500000000002,10.0996,4.6088,17.679499999999997,11.252,31.1546,8.401,15.1011,15.367,6.466999999999999,9.888699999999996,9.021499999999998,15.2345,14.5654,6.546199999999999,9.374900000000002,6.061300000000001,18.8742,11.9895,30.4671,7.872999999999999,13.241399999999995,12.9478,8.759,10.770999999999995,8.4563,12.488499999999998,7.302499999999997,18.281600000000005,10.0855,11.771600000000005,16.21790000000001,12.466100000000004,10.0888,16.663700000000006,19.5134,15.4538,8.963899999999999,23.0139,18.53370000000001,12.7813,17.442300000000003,13.143000000000002,15.777500000000002,9.4989,13.764899999999995,10.61270000000001,14.138300000000005,27.4284,15.992600000000005,14.125399999999996,17.4258,6.764000000000002,9.1497,17.577399999999997,13.573200000000002,9.0781,8.700500000000002,23.097500000000004,18.166000000000004,7.305800000000001,15.8423,22.5718,15.3159,14.514199999999995,11.8464,6.491799999999998,14.211200000000003,11.180200000000005,12.225999999999996,19.20780000000001,13.7709,9.7687,16.431499999999993,19.88659999999999,15.894700000000002,5.3541000000000025,23.665799999999997,19.937499999999996,12.010599999999998,18.790099999999995,13.5948,17.472300000000008,11.4929,14.044399999999998,10.8484,15.425100000000002,27.664800000000003,15.347699999999998,15.395300000000002,17.8339,6.5269,8.285400000000001,13.873100000000004,14.555399999999995,9.742300000000002,8.0914,23.8669,21.00210000000001,4.5424,17.722499999999997,23.3309,12.925300000000002,16.532499999999995
d__Bacteria|p__Actinomycetota|c__Actinomycetes,7.3342,10.883700000000005,4.4376,8.909500000000001,4.0268,15.0225,10.5542,29.494,7.067400000000001,14.3795,14.8066,5.499599999999999,9.187899999999996,8.908599999999998,7.282900000000001,13.2785,4.35,8.265400000000001,5.2804,16.0494,11.3025,29.4962,6.605499999999999,12.621199999999996,12.3008,7.6705,10.222099999999998,8.237300000000001,9.9185,6.096299999999999,16.202300000000005,8.889400000000002,11.188100000000006,13.756699999999991,11.492700000000005,7.042599999999998,12.660699999999991,18.1542,13.5928,7.856700000000003,19.164900000000003,17.62940000000001,10.6809,16.177600000000005,9.547500000000005,15.197800000000004,9.1336,11.036499999999997,10.501600000000009,13.237100000000003,25.644,15.324200000000005,13.593399999999995,14.52,6.467800000000001,8.471899999999998,16.4027,13.425400000000002,7.6198000000000015,7.626300000000002,22.019600000000004,16.4277,6.321700000000002,15.465500000000002,21.984699999999997,14.6687,14.243299999999996,9.267999999999995,5.725299999999999,12.755800000000002,9.654300000000005,11.7811,17.282700000000006,12.2622,8.119100000000001,12.885699999999998,17.669900000000002,13.904600000000002,4.606600000000001,19.710999999999995,19.323699999999995,10.554099999999998,17.517999999999997,9.894000000000002,16.9344,11.237,11.118199999999998,10.7966,14.562500000000004,26.677900000000005,14.9045,14.7937,15.080599999999995,6.3192,7.7454,12.2853,14.522799999999997,8.594700000000001,6.6535,22.8227,19.270800000000005,4.125099999999999,17.324999999999996,22.8635,12.490700000000002,16.433399999999995
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales,7.2697,10.6003,4.3601,8.639800000000001,3.7919,14.240899999999998,10.1002,29.494,6.895900000000001,14.1461,14.4699,5.278499999999999,8.881999999999998,8.6047,7.282900000000001,13.1667,4.35,8.265400000000001,5.0961,15.236999999999998,11.105,29.4962,6.412299999999999,12.323699999999995,12.0714,7.481400000000001,9.837799999999998,8.0233,9.4067,5.339599999999997,16.0111,8.5887,10.441300000000004,13.624399999999996,10.7998,6.720999999999998,12.131399999999996,16.8984,13.238199999999996,7.776600000000003,18.62850000000001,16.2137,9.6863,15.520200000000004,9.339000000000006,14.698100000000002,8.791099999999998,10.738799999999998,9.929900000000004,12.906600000000008,24.8392,14.413600000000002,12.660799999999998,14.3003,5.656200000000001,7.941999999999998,15.7892,13.101000000000004,7.559200000000001,6.8907,21.9,16.107300000000002,6.206800000000001,14.4602,21.695,14.1473,13.422999999999996,8.774799999999999,4.9903999999999975,12.560800000000002,9.428800000000004,11.005699999999996,17.148700000000005,11.6862,7.780900000000001,12.548899999999998,16.493100000000002,13.6404,4.554900000000001,19.217199999999995,17.986699999999995,9.320900000000002,16.8078,9.7205,16.3594,10.9198,10.847799999999998,10.2429,14.289400000000004,25.90130000000001,13.9689,13.8631,14.907499999999995,5.496099999999999,7.309699999999999,11.5292,14.218599999999997,8.571200000000001,5.8438,22.7423,18.96850000000001,4.091799999999999,16.326300000000003,22.6411,11.982400000000004,15.648300000000004
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae,5.2036,2.2603,2.5612,5.3786000000000005,2.7885000000000004,3.7269,6.443200000000001,5.9649,4.073,3.8581,10.3852,3.807,4.2996,7.204199999999999,5.0646,2.4242000000000004,2.455,4.7409,3.687100000000001,3.7404000000000006,7.3349,6.1932,4.0234,4.691800000000001,7.580999999999999,3.985100000000001,4.9853000000000005,6.5859000000000005,3.8903000000000016,2.7108999999999983,2.260500000000001,4.698099999999999,1.3769999999999996,6.067400000000002,4.4649,2.6171999999999995,6.540400000000001,10.2551,4.648999999999999,2.8293000000000004,6.4204,6.211499999999999,4.0698,4.0407,8.127700000000003,6.5905000000000005,0.8479000000000003,7.609700000000002,4.693599999999999,5.565899999999999,6.218,4.230600000000001,7.7055,10.7015,0.9525,2.3544,12.046,6.2024,2.317699999999999,2.6817,12.6582,7.732699999999999,3.413,2.914,6.180499999999999,4.109699999999998,1.6088000000000005,4.1562,2.6524,2.6453,5.013600000000001,1.3639999999999997,7.2524,4.084900000000001,2.6276,6.4579,9.911400000000004,4.4617000000000004,1.9411,6.692699999999999,6.561300000000001,4.136299999999999,4.0265,8.546400000000002,6.4786,0.7164,7.859100000000001,4.584699999999999,5.826899999999999,6.190999999999999,4.3261,7.981099999999999,11.119899999999998,0.8918,1.7493999999999998,7.169200000000001,6.299799999999999,2.5755000000000003,2.3723999999999994,13.4793,9.8022,2.7414,3.0233,4.9303,3.5611,1.5253000000000003
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,0.0891,0.296,0.4027,0.332,0.4175,1.0874,1.1431,1.118,0.3738,0.2305,0.959,0.7172999999999999,0.8029999999999999,0.967,0,0.0832,0,0.3972,0.4858,0.999,1.1541,1.2683,0.2628,0.2846,0.7794,0.7236,0.8023,1.129,0.6689999999999999,0.665,0.1888999999999999,0.3649,0.7857000000000001,1.7369,1.0861,0.5334,2.1705000000000005,1.6904,1.0547,0.7139000000000001,2.0402,3.3754000000000004,1.1097,1.0283999999999998,1.8025,2.0713,0.3455,1.3850000000000002,2.413,0.8293,1.0503000000000002,2.8631,3.297300000000001,1.8148,0.4249999999999999,1.5144,11.1824,0.3828,0.0885999999999999,0.9969,5.113399999999999,2.1271,0.1779,0.5836,0.8665000000000002,1.5217999999999996,0.6019,0.8946,0.8482999999999999,0.1154999999999999,0.2154,0.7836,1.7161,1.0480000000000005,0.4561,2.2471,1.7522,0.9047,0.3503,2.093,3.5868,1.3832999999999998,1.0427,1.8229,2.0593,0.2119,1.527,2.3309,0.8673,1.1436,2.855,3.6727,1.8491,0.5701,1.1557,6.446700000000001,0.3416,0.1366,0.8225,5.470400000000001,2.211,0.0411,0.504,0.9036999999999998,1.3538,0.5024
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces dentalis,0,0,0,0,0,0,0.1146,0,0,0,0,0.1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472,0.0552,0.0058,0.0194,0.0691,0.0031,0.0238,0.0142,0.0894,0.0555,0.0219,0.0069,0.0694,0.1598,0.1003,0.0418,0.0263,0.1082,0,0.0582,0.0131,0.0524,0.0192,0.0712,0.2235,0.0158,0.0743,0.109,0.0253,0.0139,0,0.0404,0.0188,0.0249,0.0085,0.0242,0.0169,0.0317,0.0746,0.0555,0.1271,0,0,0.0918,0,0.0311,0,0.1124,0.0555,0,0,0,0.1888,0.1616,0.045,0.0306,0.1568,0,0.0483,0,0.0798,0,0.0809,0.3208,0,0.1081,0.1075,0,0,0,0.0308,0,0.0549,0,0,0,0,0.0984
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces dentalis|t__GCF_000429225.1,0,0,0,0,0,0,0.1146,0,0,0,0,0.1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472,0.0552,0.0058,0.0194,0.0691,0.0031,0.0238,0.0142,0.0894,0.0555,0.0219,0.0069,0.0694,0.1598,0.1003,0.0418,0.0263,0.1082,0,0.0582,0.0131,0.0524,0.0192,0.0712,0.2235,0.0158,0.0743,0.109,0.0253,0.0139,0,0.0404,0.0188,0.0249,0.0085,0.0242,0.0169,0.0317,0.0746,0.0555,0.1271,0,0,0.0918,0,0.0311,0,0.1124,0.0555,0,0,0,0.1888,0.1616,0.045,0.0306,0.1568,0,0.0483,0,0.0798,0,0.0809,0.3208,0,0.1081,0.1075,0,0,0,0.0308,0,0.0549,0,0,0,0,0.0984
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces gerencseriae,0,0,0.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0.0059,0.0092,0.1207,0.0071,0.0293,0.0201,0.0605,0.069,0.0182,0.0047,0.0472,0.0535,0.0634,0.0199,0.0035,0.0466,0.0323,0.0184,0.0145,0.0303,0.0178,0.0296,0.1523,0.0328,0.0108,0.0882,0.0333,0.0131,0.0052,0.0224,0.0172,0.0104,0.0108,0.0111,0.0069,0.0089,0.025,0,0,0,0,0.1551,0,0.03,0,0.0758,0.0814,0,0,0.0355,0.0752,0.086,0,0,0.0258,0.0555,0,0,0.0419,0,0,0.2238,0.0492,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces gerencseriae|t__GCF_000429265.1,0,0,0.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0.0059,0.0092,0.1207,0.0071,0.0293,0.0201,0.0605,0.069,0.0182,0.0047,0.0472,0.0535,0.0634,0.0199,0.0035,0.0466,0.0323,0.0184,0.0145,0.0303,0.0178,0.0296,0.1523,0.0328,0.0108,0.0882,0.0333,0.0131,0.0052,0.0224,0.0172,0.0104,0.0108,0.0111,0.0069,0.0089,0.025,0,0,0,0,0.1551,0,0.03,0,0.0758,0.0814,0,0,0.0355,0.0752,0.086,0,0,0.0258,0.0555,0,0,0.0419,0,0,0.2238,0.0492,0,0,0,0,0,0,0,0,0,0,0,0,0
